time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-3-30 11:27:42.837	WTbob(8021AB414BBE)	3	20	8	0.005	0.000	0.011	4	181	44	15	13	17	12.12	10057.2.3	100
2025-3-30 11:27:42.927	WTbob(8021AB414BBE)	4	5	2	0.011	0.005	0.005	20	22	19	15	13	17	12.00	10057.2.3	100
2025-3-30 11:27:43.57	WTbob(8021AB414BBE)	1	7	4	0.000	0.011	0.000	15	35	22	15	13	17	12.06	10057.2.3	100
2025-3-30 11:27:43.138	WTbob(8021AB414BBE)	1	3	7	0.005	0.011	0.011	23	29	56	17	17	19	12.06	10057.2.3	100
2025-3-30 11:27:43.257	WTbob(8021AB414BBE)	5	9	6	0.000	0.000	0.011	17	30	46	17	17	19	12.00	10057.2.3	100
2025-3-30 11:27:43.318	WTbob(8021AB414BBE)	4	9	8	0.016	0.000	0.011	40	98	59	17	17	19	12.00	10057.2.3	100
2025-3-30 11:27:43.437	WTbob(8021AB414BBE)	3	11	14	0.022	0.000	0.000	23	95	52	17	17	19	12.12	10057.2.3	100
2025-3-30 11:27:43.527	WTbob(8021AB414BBE)	3	7	3	0.000	0.000	0.000	14	98	40	17	17	19	12.06	10057.2.3	100
2025-3-30 11:27:43.647	WTbob(8021AB414BBE)	1	6	5	0.022	0.000	0.011	38	40	97	17	17	19	12.12	10057.2.3	100
2025-3-30 11:27:43.739	WTbob(8021AB414BBE)	5	12	6	0.000	0.011	0.000	39	80	25	17	17	19	11.94	10057.2.3	100
2025-3-30 11:27:43.858	WTbob(8021AB414BBE)	2	8	3	0.005	0.005	0.000	50	48	4	17	17	19	12.06	10057.2.3	100
2025-3-30 11:27:43.918	WTbob(8021AB414BBE)	4	10	2	0.005	0.005	0.005	22	64	32	17	17	19	12.19	10057.2.3	100
2025-3-30 11:27:44.47	WTbob(8021AB414BBE)	9	6	2	0.000	0.005	0.011	40	71	29	17	17	19	12.12	10057.2.3	100
2025-3-30 11:27:44.128	WTbob(8021AB414BBE)	3	7	6	0.011	0.011	0.005	59	53	22	16	15	19	12.06	10057.2.3	100
2025-3-30 11:27:44.247	WTbob(8021AB414BBE)	6	2	10	0.022	0.011	0.000	12	28	99	16	15	19	12.06	10057.2.3	100
2025-3-30 11:27:44.337	WTbob(8021AB414BBE)	2	5	7	0.011	0.005	0.005	54	15	59	16	15	19	12.00	10057.2.3	100
2025-3-30 11:27:44.458	WTbob(8021AB414BBE)	3	10	12	0.022	0.011	0.011	15	39	89	16	15	19	12.06	10057.2.3	100
2025-3-30 11:27:44.548	WTbob(8021AB414BBE)	8	18	9	0.038	0.000	0.016	19	92	111	16	15	19	12.00	10057.2.3	100
2025-3-30 11:27:44.703	WTbob(8021AB414BBE)	17	19	14	0.055	0.000	0.022	89	119	81	16	15	19	12.06	10057.2.3	100
2025-3-30 11:27:44.729	WTbob(8021AB414BBE)	5	54	46	0.060	0.011	0.027	67	440	202	16	15	19	12.00	10057.2.3	100
2025-3-30 11:27:44.851	WTbob(8021AB414BBE)	4	6	11	0.011	0.016	0.011	39	112	44	16	15	19	11.94	10057.2.3	100
2025-3-30 11:27:44.938	WTbob(8021AB414BBE)	6	8	4	0.016	0.000	0.005	25	85	62	16	15	19	12.12	10057.2.3	100
2025-3-30 11:27:45.58	WTbob(8021AB414BBE)	3	11	4	0.005	0.005	0.033	35	86	18	16	15	19	12.12	10057.2.3	100
2025-3-30 11:27:45.148	WTbob(8021AB414BBE)	2	11	7	0.005	0.005	0.011	26	56	56	16	17	16	12.12	10057.2.3	100
2025-3-30 11:27:45.268	WTbob(8021AB414BBE)	1	5	5	0.011	0.005	0.016	16	27	57	16	17	16	12.06	10057.2.3	100
2025-3-30 11:27:45.326	WTbob(8021AB414BBE)	3	11	11	0.011	0.016	0.011	9	68	50	16	17	16	12.06	10057.2.3	100
2025-3-30 11:27:45.449	WTbob(8021AB414BBE)	6	5	9	0.000	0.016	0.011	20	112	65	16	17	16	12.31	10057.2.3	100
2025-3-30 11:27:45.537	WTbob(8021AB414BBE)	4	7	6	0.027	0.016	0.011	42	22	16	16	17	16	11.94	10057.2.3	100
2025-3-30 11:27:45.657	WTbob(8021AB414BBE)	5	15	2	0.044	0.000	0.005	35	181	32	16	17	16	12.00	10057.2.3	100
2025-3-30 11:27:45.748	WTbob(8021AB414BBE)	5	2	7	0.000	0.000	0.016	20	55	36	16	17	16	12.12	10057.2.3	100
2025-3-30 11:27:45.869	WTbob(8021AB414BBE)	3	11	6	0.033	0.016	0.022	37	146	33	16	17	16	11.68	10057.2.3	100
2025-3-30 11:27:45.957	WTbob(8021AB414BBE)	8	4	4	0.022	0.022	0.005	17	12	82	16	17	16	12.06	10057.2.3	100
2025-3-30 11:27:46.78	WTbob(8021AB414BBE)	7	2	3	0.005	0.005	0.005	89	35	86	16	17	16	12.12	10057.2.3	100
2025-3-30 11:27:46.137	WTbob(8021AB414BBE)	6	20	9	0.033	0.011	0.027	25	234	45	16	12	16	12.06	10057.2.3	100
2025-3-30 11:27:46.258	WTbob(8021AB414BBE)	9	16	8	0.011	0.000	0.005	69	184	72	16	12	16	12.12	10057.2.3	100
2025-3-30 11:27:46.347	WTbob(8021AB414BBE)	3	20	22	0.027	0.005	0.022	65	182	223	16	12	16	12.38	10057.2.3	100
2025-3-30 11:27:46.467	WTbob(8021AB414BBE)	5	16	14	0.022	0.011	0.000	12	101	97	16	12	16	12.00	10057.2.3	100
2025-3-30 11:27:46.559	WTbob(8021AB414BBE)	7	6	14	0.027	0.011	0.022	35	73	77	16	12	16	11.94	10057.2.3	100
2025-3-30 11:27:46.677	WTbob(8021AB414BBE)	8	12	6	0.000	0.011	0.011	44	21	61	16	12	16	12.00	10057.2.3	100
2025-3-30 11:27:46.768	WTbob(8021AB414BBE)	1	7	23	0.060	0.005	0.016	61	105	56	16	12	16	12.12	10057.2.3	100
2025-3-30 11:27:46.857	WTbob(8021AB414BBE)	3	12	4	0.022	0.005	0.000	14	115	40	16	12	16	12.00	10057.2.3	100
2025-3-30 11:27:46.947	WTbob(8021AB414BBE)	2	15	11	0.016	0.000	0.005	46	68	115	16	12	16	12.06	10057.2.3	100
2025-3-30 11:27:47.68	WTbob(8021AB414BBE)	6	13	9	0.027	0.016	0.000	30	78	29	16	12	16	12.06	10057.2.3	100
2025-3-30 11:27:47.158	WTbob(8021AB414BBE)	0	11	19	0.011	0.000	0.011	23	142	95	11	12	15	11.94	10057.2.3	100
2025-3-30 11:27:47.277	WTbob(8021AB414BBE)	5	13	5	0.038	0.016	0.005	31	122	56	11	12	15	12.19	10057.2.3	100
2025-3-30 11:27:47.368	WTbob(8021AB414BBE)	10	23	19	0.066	0.005	0.005	54	80	109	11	12	15	12.00	10057.2.3	100
2025-3-30 11:27:47.489	WTbob(8021AB414BBE)	6	28	31	0.055	0.016	0.027	88	135	182	11	12	15	12.12	10057.2.3	100
2025-3-30 11:27:47.547	WTbob(8021AB414BBE)	6	19	13	0.033	0.005	0.005	37	261	162	11	12	15	12.12	10057.2.3	100
2025-3-30 11:27:47.668	WTbob(8021AB414BBE)	4	6	6	0.022	0.000	0.000	31	121	70	11	12	15	11.94	10057.2.3	100
2025-3-30 11:27:47.757	WTbob(8021AB414BBE)	3	9	6	0.011	0.011	0.005	54	81	32	11	12	15	12.00	10057.2.3	100
2025-3-30 11:27:47.877	WTbob(8021AB414BBE)	3	16	7	0.011	0.000	0.005	24	104	50	11	12	15	12.06	10057.2.3	100
2025-3-30 11:27:47.967	WTbob(8021AB414BBE)	2	13	4	0.011	0.000	0.000	26	52	62	11	12	15	12.06	10057.2.3	100
2025-3-30 11:27:48.88	WTbob(8021AB414BBE)	2	11	3	0.000	0.005	0.000	43	64	10	11	12	15	12.06	10057.2.3	100
2025-3-30 11:27:48.147	WTbob(8021AB414BBE)	3	6	4	0.000	0.005	0.005	10	87	88	13	13	15	12.06	10057.2.3	100
2025-3-30 11:27:48.267	WTbob(8021AB414BBE)	4	14	6	0.005	0.005	0.000	12	62	78	13	13	15	12.12	10057.2.3	100
2025-3-30 11:27:48.389	WTbob(8021AB414BBE)	6	13	11	0.005	0.011	0.005	25	112	53	13	13	15	11.94	10057.2.3	100
2025-3-30 11:27:48.507	WTbob(8021AB414BBE)	2	4	8	0.005	0.005	0.011	33	88	26	13	13	15	12.06	10057.2.3	100
